model,rank,case_set,case_identifier,evaluation_role,uncertainty_source,duration_scaling,size_ratio,source_simulation,mode,truth_field_norm,projected_coefficient,predicted_coefficient,coefficient_error_absolute,coefficient_error_percent,modal_uncertainty_absolute,modal_uncertainty_percent,coefficient_error_to_uncertainty_ratio,mode_ratio_stable,uncertainty_rule_frozen_before_evaluation,external_test_used_for_selection
paper_rank15,15,external,external_simulation_6,external,interpolated_external,inverse_sqrt_sensitivity,1.375,6,12,13.992508553246099,0.005572092211087197,0.001975091479613578,0.003597000731473619,0.025706618064844113,0.011988410247619182,0.08567734800375026,0.300039843246769,True,True,False
paper_rank15,15,external,external_simulation_6,external,interpolated_external,inverse_sqrt_sensitivity,1.375,6,13,13.992508553246099,0.0028081375992075356,0.003978127478358968,0.001169989879151432,0.008361544855943703,0.020858514137347274,0.14906915409752128,0.056091717341292265,True,True,False
paper_rank15,15,external,external_simulation_6,external,interpolated_external,inverse_sqrt_sensitivity,1.375,6,14,13.992508553246099,-0.010702611227180431,-0.0008427087880470419,0.00985990243913339,0.07046558093292005,0.011902052477087963,0.08506017653515621,0.82842034666829,True,True,False
paper_rank15,15,external,external_simulation_6,external,interpolated_external,inverse_sqrt_sensitivity,1.375,6,15,13.992508553246099,-0.0021315257255949595,-0.0008845278921526326,0.001246997833442327,0.00891189616713179,0.01735446336183609,0.12402681974998726,0.07185458907272115,True,True,False
paper_rank15,15,external,external_simulation_1,external,interpolated_external,empirical_primary,1.5,1,1,14.433726838114836,-14.416808625250361,-14.443788283291022,0.026979658040660937,0.18692094109344182,0.008132474160926332,0.056343550436683335,3.317521520116064,True,True,False
paper_rank15,15,external,external_simulation_1,external,interpolated_external,empirical_primary,1.5,1,2,14.433726838114836,0.5505564129301254,0.5872664895455255,0.036710076615400156,0.2543353981070269,0.01627861279786496,0.11278177133627312,2.2551108667081823,True,True,False
paper_rank15,15,external,external_simulation_1,external,interpolated_external,empirical_primary,1.5,1,3,14.433726838114836,-0.39459380770410946,-0.2975042497249998,0.09708955797910968,0.6726575822588476,0.014163664812693412,0.09812895152824788,6.8548330720237365,True,True,False
paper_rank15,15,external,external_simulation_1,external,interpolated_external,empirical_primary,1.5,1,4,14.433726838114836,0.1334012391995818,0.07554599935244617,0.05785523984713563,0.40083368970485517,0.017973952258201926,0.12452745198654094,3.218837961513721,True,True,False
paper_rank15,15,external,external_simulation_1,external,interpolated_external,empirical_primary,1.5,1,5,14.433726838114836,0.07084044030982993,0.021750366101376553,0.04909007420845338,0.34010671505035184,0.021188603225483365,0.14679925332611304,2.316815020133707,True,True,False
paper_rank15,15,external,external_simulation_1,external,interpolated_external,empirical_primary,1.5,1,6,14.433726838114836,0.027216901799040495,-0.01379034292786282,0.041007244726903314,0.28410711375399145,0.024826950234123634,0.17200651302727743,1.6517230002153274,True,True,False
paper_rank15,15,external,external_simulation_1,external,interpolated_external,empirical_primary,1.5,1,7,14.433726838114836,0.03559192380048622,0.00041952344765239236,0.03517240035283383,0.24368204239500238,0.027804659581454175,0.19263673127047826,1.2649822325569477,True,True,False
paper_rank15,15,external,external_simulation_1,external,interpolated_external,empirical_primary,1.5,1,8,14.433726838114836,-0.04071781045339061,-0.0010990815273195231,0.03961872892607109,0.2744871741749383,0.018708869958120194,0.1296191217137079,2.1176441449835086,True,True,False
paper_rank15,15,external,external_simulation_1,external,interpolated_external,empirical_primary,1.5,1,9,14.433726838114836,-0.020043706590465338,0.009705490333528504,0.029749196923993842,0.20610890906869436,0.03399979305064872,0.23555796387157743,0.8749817059085371,True,True,False
paper_rank15,15,external,external_simulation_1,external,interpolated_external,empirical_primary,1.5,1,10,14.433726838114836,0.009171431304034161,0.001432639642193409,0.007738791661840752,0.05361603242625522,0.017950237434266728,0.12436315052648714,0.43112475198057926,True,True,False
